STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
26,10560,2610560,Fairview Area School District,00,KG,12,G5420,,E,826087788,8840449,+44.7427157,-083.9505087
26,10590,2610590,Comstock Public Schools,00,KG,12,G5420,,E,64484792,2296964,+42.2792561,-085.5022789
26,10620,2610620,Comstock Park Public Schools,00,PK,12,G5420,,E,24758225,1036895,+43.0627291,-085.6572599
26,10650,2610650,Concord Community Schools,00,KG,12,G5420,,E,177814562,3299197,+42.1656661,-084.6260137
26,10750,2610750,Constantine Public School District,00,KG,12,G5420,,E,244984295,9075487,+41.8338850,-085.7665851
26,10830,2610830,Coopersville Public School District,00,KG,12,G5420,,E,282717141,2044186,+43.0690351,-085.9156045
26,10860,2610860,Corunna Public School District,00,KG,12,G5420,,E,259777235,1550193,+42.9976578,-084.0566006
26,10980,2610980,Covert Public Schools,00,KG,12,G5420,,E,95139109,148292,+42.2902927,-086.2774848
26,11030,2611030,Crawford AuSable Schools,00,KG,12,G5420,,E,1157293540,17289435,+44.7172077,-084.6459674
26,11140,2611140,Croswell-Lexington Community School District,00,KG,12,G5420,,E,432073479,1749827,+43.2439177,-082.6347222
26,11190,2611190,Forest Park School District,00,KG,12,G5420,,E,1582261533,68981474,+46.2063578,-088.3258257
26,11400,2611400,Dansville Schools,00,KG,12,G5420,,E,227244312,406972,+42.5592193,-084.2762842
26,11430,2611430,Davison Community Schools,00,KG,12,G5420,,E,157346765,1160394,+43.0277710,-083.5133682
26,11550,2611550,DeWitt Public Schools,00,KG,12,G5420,,E,47031816,615160,+42.8284454,-084.5923022
26,11600,2611600,Dearborn City School District,00,PK,12,G5420,,E,68389900,677396,+42.3158735,-083.2171750
26,11610,2611610,Dearborn Heights School District 7,00,PK,12,G5420,,E,5657443,85,+42.2759227,-083.2466934
26,11640,2611640,Westwood Community Schools,00,KG,12,G5420,,E,9546223,1610,+42.2875924,-083.2919840
26,11670,2611670,Decatur Public Schools,00,KG,12,G5420,,E,206026571,4551230,+42.1021021,-085.9991228
26,11700,2611700,Deckerville Community School District,00,KG,12,G5420,,E,454598783,451626,+43.5625969,-082.7458636
26,11730,2611730,Deerfield Public Schools,00,KG,12,G5420,,E,72137829,459132,+41.8904336,-083.7982180
