favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,WVDE Twitbot,Dunlow Elementary School in #Wayne Co closed Fri 9/13/13 due to No Power,,False,Fri Sep 13 09:45:35 +0000 2013,1,378454404321394688
18,WVDE Twitbot,All schools in #Jefferson Co closed Wed 3/5/14,,False,Wed Mar 05 01:58:04 +0000 2014,31,441029850191507459
10,WVDE Twitbot,All schools in #Greenbrier Co on a 2-hr delay Thu 12/15/16 due to Icy road conditions,,False,Thu Dec 15 10:02:36 +0000 2016,16,809337854925082624
0,WVDE Twitbot,At 05:49am on Thu: New bus announcements posted for #Raleigh Co at https://t.co/yZWjhAZLJ1,,False,Thu Feb 09 10:50:35 +0000 2017,1,829643654390218752
0,WVDE Twitbot,UPDATE: All schools in #Pocahontas Co now closed Mon 3/5/12,,False,Mon Mar 05 11:48:01 +0000 2012,2,176635172563849216
3,WVDE Twitbot,At 07:24pm on Thu: New bus announcements posted for #Kanawha Co at https://t.co/ePbZmFJuu7,,False,Fri Jan 19 00:24:55 +0000 2018,1,954147624319365121
0,WVDE Twitbot,1/2 All schools in #Harrison Co on a 2-hr delay Wed 10/31/12,,False,Tue Oct 30 22:12:41 +0000 2012,2,263403073081323520
7,WVDE Twitbot,Kanawha: Cross Lanes Christian School on a 2-hr delay Fri 2/27/15 due to weather related road conditions,,False,Fri Feb 27 11:56:01 +0000 2015,6,571277569988952064
2,WVDE Twitbot,All schools in #Tyler Co on a 2-hr delay Thu 1/24/13,,False,Wed Jan 23 21:14:11 +0000 2013,6,294191320979873792
58,WVDE Twitbot,All schools in #Cabell Co closed Wed 2/18/15 due to inclement weather code red,,False,Tue Feb 17 16:57:07 +0000 2015,48,567729468312403968
14,WVDE Twitbot,All schools in #Marion Co closed Mon 2/3/14 due to Inclement Weather,,False,Mon Feb 03 09:57:37 +0000 2014,53,430278894202400768
1,WVDE Twitbot,UPDATE: Jackson Middle School in #Wood Co now closed Wed 1/8/14,,False,Wed Jan 08 01:24:27 +0000 2014,1,420727670079385600
6,WVDE Twitbot,Duval Pk-8 in #Lincoln Co closed Wed 3/4/15,,False,Wed Mar 04 11:37:33 +0000 2015,4,573084862455910400
154,WVDE Twitbot,All schools in #Putnam Co closed Mon 1/25/16 due to Weather conditions,,False,Sun Jan 24 16:28:45 +0000 2016,336,691296591169339398
21,WVDE Twitbot,All schools in #Berkeley Co on a 2-hr delay Fri 1/24/14 All Pre-K classes are cancelled.,,False,Thu Jan 23 19:07:51 +0000 2014,80,426431101070876672
1,WVDE Twitbot,"Near Shady Spring in #Raleigh Co: Bus 68, Oak St. Beaver St. and DC Lilly met at Shelton Insurance at 10:00 for Elementary.",,False,Mon Mar 02 13:58:50 +0000 2015,0,572395643366445056
1,WVDE Twitbot,All schools in #Summers Co closed Mon 3/25/13,,False,Mon Mar 25 08:40:01 +0000 2013,5,316107186990354432
0,WVDE Twitbot,UPDATE: Union Educational Complex in #Grant Co now closed Tue 1/3/12 due to inclement weather,,False,Tue Jan 03 09:43:17 +0000 2012,0,154135734876520449
1,WVDE Twitbot,Petersburg High School in #Grant Co closed Fri 5/16/14 due to inclement weather and high water,,False,Fri May 16 10:54:17 +0000 2014,3,467256718339346432
22,WVDE Twitbot,All schools in #Clay Co closed Tue 1/26/16 due to Weather conditions,,False,Mon Jan 25 19:20:50 +0000 2016,27,691702285798346752
0,WVDE Twitbot,Near Midland Trail Area in #Fayette Co: Bus #004 No Lansing Loop Road Run this morning,,False,Wed Jan 04 11:56:17 +0000 2012,0,154531591174094848
77,WVDE Twitbot,All schools in #Berkeley Co on a 2-hr delay Thu 2/19/15 due to weather,,False,Thu Feb 19 01:43:30 +0000 2015,128,568224324961873920
3,WVDE Twitbot,Near Oak Hill in #Fayette Co: Bus #440 No Thayer Rd run today,,False,Fri Feb 27 10:55:33 +0000 2015,0,571262356342370304
17,WVDE Twitbot,All schools in #Grant Co on a 2-hr delay Wed 1/3/18,,False,Tue Jan 02 23:07:06 +0000 2018,6,948329836698890240
4,WVDE Twitbot,UPDATE: All schools in #Grant Co now closed Wed 2/19/14 due to inclement wearer.  (freezing  rain),,False,Wed Feb 19 12:29:57 +0000 2014,5,436115438053769217
13,WVDE Twitbot,1/2 UPDATE: Pleasant Hill School in #Calhoun Co now closed Tue 8/23/16 due to Water Issues,,False,Mon Aug 22 22:23:31 +0000 2016,2,767849711848026112
