X,Y,code,lat,lon,elevation,station_name,STATEFP,UNSDLEA,AFFGEOID,GEOID,district,LSAD,ALAND,AWATER
-81.04860,39.21890,USC00463940,39.21890,-81.04860,250.90000,WV HARRISVILLE,54,01290,9700000US5401290,5401290,Ritchie County School District,00,1170648311,4425143
-80.66670,39.55000,USC00463974,39.55000,-80.66670,232.00000,WV HASTINGS,54,01560,9700000US5401560,5401560,Wetzel County School District,00,927380674,8458366
-80.00000,38.50000,USC00464045,38.50000,-80.00000,-999.90000,WV HELVETIA,54,01260,9700000US5401260,5401260,Randolph County School District,00,-1602156446,667359
-81.86670,37.93330,USC00464085,37.93330,-81.86670,-999.90000,WV HEWETT,54,00690,9700000US5400690,5400690,Logan County School District,00,1175209778,4830034
-81.00810,38.12250,USC00464128,38.12250,-81.00810,713.20000,WV HICO,54,00300,9700000US5400300,5400300,Fayette County School District,00,1713494053,17519186
-80.88330,37.66670,USC00464170,37.66670,-80.88330,435.90000,WV HINTON 1,54,01350,9700000US5401350,5401350,Summers County School District,00,933901347,18506974
-80.88330,37.66670,USC00464175,37.66670,-80.88330,415.10000,WV HINTON 2,54,01350,9700000US5401350,5401350,Summers County School District,00,933901347,18506974
-82.18360,38.68440,USC00464200,38.68440,-82.18360,173.70000,WV HOGSETT RC BYRD DAM,54,00780,9700000US5400780,5400780,Mason County School District,00,1115633279,36174541
-80.43330,38.30000,USC00464230,38.30000,-80.43330,622.40000,WV HOLCOMB,54,01530,9700000US5401530,5401530,Webster County School District,00,1433477403,7148637
-79.51670,39.43330,USC00464264,39.43330,-79.51670,759.00000,WV HOPEMONT,54,01170,9700000US5401170,5401170,Preston County School District,00,1680406633,6681831
-80.36670,38.98330,USC00464281,38.98330,-80.36670,328.90000,WV HORNER,54,00630,9700000US5400630,5400630,Lewis County School District,00,1002071716,7108412
-80.45000,38.80000,USC00464292,38.80000,-80.45000,865.60000,WV HORTON,54,00630,9700000US5400630,5400630,Lewis County School District,00,1002071716,7108412
-80.13330,39.50000,USC00464309,39.50000,-80.13330,267.90000,WV HOULT LOCK 15,54,00720,9700000US5400720,5400720,Marion County School District,00,799642461,7186185
-80.46670,39.70000,USC00464369,39.70000,-80.46670,304.80000,WV HUNDRED,54,01560,9700000US5401560,5401560,Wetzel County School District,00,927380674,8458366
-80.45000,39.70000,USC00464372,39.70000,-80.45000,320.00000,WV HUNDRED 1,54,01560,9700000US5401560,5401560,Wetzel County School District,00,927380674,8458366
-82.36670,38.41670,USC00464378,38.41670,-82.36670,207.00000,WV HUNTINGTON 1,54,00180,9700000US5400180,5400180,Cabell County School District,00,727838071,18122000
-82.43330,38.41670,USC00464383,38.41670,-82.43330,182.90000,WV HUNTINGTON 2,54,00180,9700000US5400180,5400180,Cabell County School District,00,727838071,18122000
-82.45000,38.41670,USC00464388,38.41670,-82.45000,172.20000,WV HUNTINGTON FEDERAL BLD,54,00180,9700000US5400180,5400180,Cabell County School District,00,727838071,18122000
-82.52670,38.40140,USC00464397,38.40140,-82.52670,158.50000,WV HUNTINGTON SWG PL,54,01500,9700000US5401500,5401500,Wayne County School District,00,1310504122,15860720
-81.82360,37.45030,USC00464408,37.45030,-81.82360,326.10000,WV IAEGER 1SW,54,00810,9700000US5400810,5400810,McDowell County School District,00,1381646921,3733264
-80.80000,37.56670,USC00464430,37.56670,-80.80000,-999.90000,WV INDIAN MILLS,54,01350,9700000US5401350,5401350,Summers County School District,00,933901347,18506974
-81.66670,38.38330,USC00464455,38.38330,-81.66670,184.70000,WV INST WERTZ FLD,54,00600,9700000US5400600,5400600,Kanawha County School District,00,-1959751630,24056487
-78.05000,39.36670,USC00464470,39.36670,-78.05000,174.00000,WV INWOOD,54,00060,9700000US5400060,5400060,Berkeley County School District,00,831766637,1061824
-80.46670,38.81670,USC00464478,38.81670,-80.46670,348.10000,WV IRELAND,54,00630,9700000US5400630,5400630,Lewis County School District,00,1002071716,7108412
-80.50000,39.20000,USC00464499,39.20000,-80.50000,323.10000,WV ISAACS CREEK,54,00510,9700000US5400510,5400510,Harrison County School District,00,1077454917,1320319
-80.41670,39.11670,USC00464559,39.11670,-80.41670,307.80000,WV JANE LEW,54,00630,9700000US5400630,5400630,Lewis County School District,00,1002071716,7108412
-80.33330,39.10000,USC00464619,39.10000,-80.33330,342.00000,WV JESSE RUN,54,00630,9700000US5400630,5400630,Lewis County School District,00,1002071716,7108412
-81.13330,38.23330,USC00464631,38.23330,-81.13330,235.00000,WV JODIE,54,00300,9700000US5400300,5400300,Fayette County School District,00,1713494053,17519186
-78.86670,39.31670,USC00464697,39.31670,-78.86670,244.10000,WV JUNCTION,54,00420,9700000US5400420,5400420,Hampshire County School District,00,1658614732,10922070
-81.21440,38.13810,USC00464727,38.13810,-81.21440,189.00000,WV KANAWHA FALLS,54,00300,9700000US5400300,5400300,Fayette County School District,00,1713494053,17519186
